Sector,Open,High,Low,Close,Volume
01.Bank,22.83,23.2,22.59,22.93,1842350.41
01.Bank,23.03,23.29,22.74,22.9,1664989.63
01.Bank,22.85,23.13,22.64,22.84,1354510.97
01.Bank,22.91,23.2,22.7,22.98,1564334.81
01.Bank,23.12,23.65,23,23.37,2586344.19
01.Bank,23.47,23.62,22.98,23.14,1813583.91
01.Bank,23.16,23.43,22.85,23.1,1656683.94
01.Bank,23.22,23.61,22.98,23.25,2224838.94
01.Bank,23.39,23.55,22.98,23.17,1756813.34
01.Bank,23.2,23.41,22.89,23.05,1107172.59
01.Bank,23.11,23.28,22.8,22.99,1383703.75
01.Bank,23.07,23.33,22.88,23.11,1516483.38
01.Bank,23.22,23.42,22.97,23.14,1507791.03
01.Bank,23.12,23.35,22.91,23.11,1263888
01.Bank,23.11,23.37,22.9,23.09,1167090.56
01.Bank,23.1,23.23,22.81,22.93,1138402.84
01.Bank,22.98,23.22,22.72,22.91,1023964.78
01.Bank,22.93,23.19,22.77,22.98,944317.34
01.Bank,22.62,22.83,22.4,22.62,735973.73
01.Bank,22.69,22.87,22.47,22.65,740378.88
01.Bank,22.64,22.85,22.43,22.58,1150238.97
01.Bank,22.62,22.79,22.28,22.45,2844397.21
02.Cement,100.56,102.43,99.83,100.89,196479.71
02.Cement,111.9,112.97,110.8,111.82,374391.67
02.Cement,102.53,103.96,101.3,102.64,312870.14
02.Cement,103.24,104.34,101.46,102.23,390406.14
02.Cement,103,106.1,101.93,104.27,872785.14
02.Cement,104.54,106.93,102.64,104.1,1019975.29
02.Cement,104.43,105.87,102.54,104.09,930655.71
02.Cement,104.17,107.66,103.17,104.91,871453.57
02.Cement,105.2,106.51,103.5,104.37,597768.14
02.Cement,103.87,105.9,103.3,104.51,328102.29
02.Cement,105.47,106.71,104.33,105.37,389641.29
02.Cement,105.14,106.27,104.4,105.26,429906.71
02.Cement,106.19,107.16,104.46,105.79,454401.29
02.Cement,106.14,106.91,104.56,105.19,404250.14
02.Cement,106.11,106.83,104,105.1,459590.71
02.Cement,105.97,106.13,103.14,104.17,386982
02.Cement,104.2,108.29,102.71,104.86,287515.14
02.Cement,107.5,110.24,105.8,108.74,249593.29
02.Cement,109.44,112,106.33,107.67,169929.86
02.Cement,107.79,108.41,103.04,104.79,259337.43
02.Cement,105.83,106.49,103.91,104.61,437792.29
02.Cement,104.4,105.67,102.16,103.11,351230.43
03.Ceramics_Sector,72.8,73.58,72.14,72.8,334644.4
03.Ceramics_Sector,72.52,74.32,72.18,72.92,425101.6
03.Ceramics_Sector,72.58,73.54,72.02,72.98,283996.6
03.Ceramics_Sector,73.74,74.3,72.62,73.48,746338
03.Ceramics_Sector,73.62,74.64,72.96,73.54,530219.6
03.Ceramics_Sector,73.76,75.7,73.24,73.76,774650.8
03.Ceramics_Sector,74.68,75.16,73.1,73.86,405646.6
03.Ceramics_Sector,73.94,77.08,73.48,75.72,1600785
03.Ceramics_Sector,76.46,79.04,75.3,77.32,3148906.6
03.Ceramics_Sector,77.56,79.48,76.08,77.3,1694063
03.Ceramics_Sector,78.06,81.36,76.96,79.48,3351889
03.Ceramics_Sector,80.48,81.16,76.94,77.36,2128595.4
03.Ceramics_Sector,77.72,78.62,76.08,76.54,2303999.2
03.Ceramics_Sector,77.64,79.36,76.36,77.5,1424677.6
03.Ceramics_Sector,78.02,78.82,76.22,76.68,1548763
03.Ceramics_Sector,76.82,78.22,74.74,76.52,2100762
03.Ceramics_Sector,76.72,77.14,74.52,75.24,1171125.6
03.Ceramics_Sector,75.9,76.52,74.64,75.06,1052030
03.Ceramics_Sector,76.08,76.66,74.82,75.36,1249555.2
03.Ceramics_Sector,75.88,76.7,75.16,75.76,1631108
03.Ceramics_Sector,76.14,76.8,74.64,75.26,1408752.4
03.Ceramics_Sector,75.36,75.58,73.2,73.54,924113.2
04.Engineering,133.76,135.6,131.05,132.85,288791.57
04.Engineering,132.78,135.21,130.59,131.68,551456.48
04.Engineering,132.37,133.71,129.88,131.18,396117.62
04.Engineering,132.69,134.61,130.15,131.59,805029.5
04.Engineering,132.68,134.1,129.77,130.99,780290.6
04.Engineering,132.43,134.46,129.74,131.48,767788.79
04.Engineering,132.77,135.64,130.41,133.42,1037017.69
04.Engineering,134.25,138.41,132.57,135.98,1193785.31
04.Engineering,137.58,140.03,132.18,135.16,771577.43
04.Engineering,137.39,140.31,133.56,137.01,566542.02
04.Engineering,137.75,142.21,136.32,139.45,640051.45
04.Engineering,140.4,142.97,136.93,140.35,672865.29
04.Engineering,140.09,143.8,138.04,140.5,935615.55
04.Engineering,141.83,143.7,137.97,139.11,951541.76
04.Engineering,140.12,141.39,135.86,137.07,1184879.48
04.Engineering,136.85,139.09,134.22,135.94,866947.48
04.Engineering,136.64,138.1,133.27,134.56,653725.98
04.Engineering,136.18,137.67,133.85,135.16,525301.02
04.Engineering,135.84,137.28,133.04,134.48,638903.95
04.Engineering,134.75,136.46,132.95,134.48,676885.02
04.Engineering,134.28,135.71,131.33,132.51,857212
04.Engineering,133.02,135,130.81,132.18,930034.24
05.Financial_Institutions,32.03,32.56,31.51,32.14,890622.68
05.Financial_Institutions,32.36,32.61,31.69,31.97,705269.91
05.Financial_Institutions,32,32.4,31.64,31.98,768184.41
05.Financial_Institutions,32.21,33.51,32.06,32.94,1234918.5
05.Financial_Institutions,33.47,33.76,32.69,33.1,943692
05.Financial_Institutions,33.36,33.65,32.42,32.72,922664.86
05.Financial_Institutions,32.96,33.65,32.36,32.97,890936.45
05.Financial_Institutions,33.3,34.26,32.84,33.27,1818756.68
05.Financial_Institutions,33.49,33.7,32.35,32.66,1053486.86
05.Financial_Institutions,32.89,33.27,32.16,32.42,690812.14
05.Financial_Institutions,32.57,33.19,32.14,32.4,812252.95
05.Financial_Institutions,32.72,33,32.19,32.56,744277.55
05.Financial_Institutions,33,33.33,32.28,32.52,1326162.14
05.Financial_Institutions,32.89,33.05,32.18,32.37,706667.32
05.Financial_Institutions,32.49,32.83,32.07,32.29,730060.91
05.Financial_Institutions,32.35,32.6,31.79,32.08,506097.59
05.Financial_Institutions,32.25,32.48,31.36,31.58,522788.59
05.Financial_Institutions,31.77,32.33,31.46,31.94,372140.41
05.Financial_Institutions,32.12,32.98,31.73,32.54,706045.95
05.Financial_Institutions,32.69,33.37,32.19,32.75,531799.82
05.Financial_Institutions,32.78,32.98,31.75,32.09,528853.91
05.Financial_Institutions,32.02,32.35,31.59,31.8,419071.95
06.Food_&_Allied,303.67,311.01,301.14,305.16,187281.15
06.Food_&_Allied,309.8,312.41,300.36,303.13,432190.1
06.Food_&_Allied,305.78,307.39,299.97,303.66,554873.95
06.Food_&_Allied,305.4,308.92,301.87,303.43,617348.9
06.Food_&_Allied,303.89,306.6,297.66,299.72,597532.5
06.Food_&_Allied,302.17,308.98,299.18,305.06,474296.9
06.Food_&_Allied,307.8,311.79,304.07,307.34,456934.65
06.Food_&_Allied,307.84,312.31,300.64,305.52,634854.8
06.Food_&_Allied,305.08,311.44,301.42,306.97,636725.35
06.Food_&_Allied,307.14,314.66,305.63,312.18,537420.6
06.Food_&_Allied,317.14,328.45,311.6,319.07,830920.6
06.Food_&_Allied,323.98,326.86,315.38,317.3,1222831.55
06.Food_&_Allied,320.63,325.45,315.81,320.78,848939.65
06.Food_&_Allied,321.65,328.6,318.43,322.33,960059.8
06.Food_&_Allied,323.82,329.4,319.71,325.67,820491.7
06.Food_&_Allied,329.16,335.07,321.85,330.78,813673.2
06.Food_&_Allied,316.41,326.92,311.83,323.05,978520.57
06.Food_&_Allied,326.85,332.11,320.74,324.63,572635.14
06.Food_&_Allied,325.23,328.19,318.09,319.38,501003.19
06.Food_&_Allied,322.04,328.62,313.98,324.5,875049.33
06.Food_&_Allied,324.08,330.24,318.22,324.16,562611
06.Food_&_Allied,324.7,331.46,319.91,323.01,460641.9
07.Fuel_&_Power,276.83,282.98,272.4,281.53,309995.43
07.Fuel_&_Power,288.83,290.2,276.94,279.45,651709.7
07.Fuel_&_Power,280.2,286.35,275.54,281.89,384960
07.Fuel_&_Power,284.66,286.31,276.51,278.01,717755
07.Fuel_&_Power,278.19,282.49,271.63,274.3,1110891.87
07.Fuel_&_Power,275.4,282.54,272.46,274.75,754478.65
07.Fuel_&_Power,277.83,285.18,274.93,282.72,1484112.04
07.Fuel_&_Power,286.33,291.88,281.19,284.49,2267592.22
07.Fuel_&_Power,285.36,291.87,278.48,283.12,1375899.43
07.Fuel_&_Power,284.6,291.6,282.34,286.91,1001409.74
07.Fuel_&_Power,290.18,298.63,288.39,295.11,926818.74
07.Fuel_&_Power,298.09,301.07,293.34,295.49,966632.13
07.Fuel_&_Power,163.12,165.63,160.78,163.43,884362.91
07.Fuel_&_Power,279.03,281.42,275.41,279.67,582704.61
07.Fuel_&_Power,284,289.85,275.37,280.01,783798.68
07.Fuel_&_Power,283.5,286.48,274.75,278.46,773457.86
07.Fuel_&_Power,274.56,280.35,267.83,270.55,500488.43
07.Fuel_&_Power,277.34,279.82,268.8,270.61,454446.09
07.Fuel_&_Power,269.57,270.33,262.94,264.63,411112.57
07.Fuel_&_Power,265.67,269.7,262.29,266.04,509856.7
07.Fuel_&_Power,263.27,265.79,258.57,261.53,566428.87
07.Fuel_&_Power,256.77,261.53,253.81,255.63,436531.09
08.Insurance,72.69,73.77,71.19,72.31,249460.6
08.Insurance,73,74.34,71.43,72.39,368183.52
08.Insurance,73.24,75.34,72.09,73.88,501737.58
08.Insurance,74.61,75.57,72.34,73.22,420419.77
08.Insurance,73.99,75.04,71.75,72.64,523258.98
08.Insurance,73.26,74.63,71.06,71.98,420942.5
08.Insurance,72.73,74.2,71.08,72.18,444131.48
08.Insurance,72.83,73.92,70.74,71.43,503124.98
08.Insurance,71.93,72.98,69.85,70.54,321294.15
08.Insurance,71.07,72.4,69.65,70.9,253758.56
08.Insurance,70.89,72.3,68.98,69.94,335673.23
08.Insurance,70.74,73.37,69.78,71.63,455886.92
08.Insurance,72.45,73.38,70.62,71.54,423760.55
08.Insurance,71.65,72.88,70.06,70.81,317618.47
08.Insurance,71.67,72.34,69.87,70.49,267784
08.Insurance,71.37,72.78,70.39,71.4,342039.19
08.Insurance,72.07,72.86,70.09,70.54,269179.72
08.Insurance,70.98,71.9,69.59,70.15,224532.51
08.Insurance,70.74,71.5,69.21,69.92,236886.4
08.Insurance,70.78,71.93,69.42,70.32,302959
08.Insurance,70.57,71.95,69.44,70.55,294060.36
08.Insurance,70.94,71.68,69.37,69.95,257275.11
