City,County,Year,TOTALproduction,SFproduction,Mfproduction,Mhproduction
Alameda,Alameda County,1990,295,178,96,21
Alameda,Alameda County,1991,360,179,153,28
Alameda,Alameda County,1992,59,138,-107,28
Alameda,Alameda County,1993,36,122,-114,28
Alameda,Alameda County,1994,3,105,-130,28
Alameda,Alameda County,1995,4,124,-149,29
Alameda,Alameda County,1996,91,209,-146,28
Alameda,Alameda County,1997,155,275,-148,28
Alameda,Alameda County,1998,87,201,-142,28
Alameda,Alameda County,1999,12,126,-142,28
Alameda,Alameda County,2000,246,195,57,-6
Alameda,Alameda County,2001,51,17,51,-17
Alameda,Alameda County,2002,92,63,47,-18
Alameda,Alameda County,2003,-487,-506,36,-17
Alameda,Alameda County,2004,138,77,78,-17
Alameda,Alameda County,2005,129,117,29,-17
Alameda,Alameda County,2006,220,164,74,-18
Alameda,Alameda County,2007,153,139,31,-17
Alameda,Alameda County,2008,89,74,32,-17
Alameda,Alameda County,2009,89,35,72,-18
Alameda,Alameda County,2010,-30,-34,8,-4
Alameda,Alameda County,2011,117,117,0,0
Alameda,Alameda County,2012,0,0,0,0
Alameda,Alameda County,2013,1,1,0,0
Alameda,Alameda County,2014,8,8,0,0
Alameda,Alameda County,2015,325,128,197,0
Alameda,Alameda County,2016,100,100,0,0
Alameda,Alameda County,2017,124,31,93,0
Albany,Alameda County,1990,-12,-1,-11,0
Albany,Alameda County,1991,-26,0,-27,1
Albany,Alameda County,1992,-25,-4,-21,0
Albany,Alameda County,1993,-20,-1,-20,1
Albany,Alameda County,1994,-19,3,-22,0
Albany,Alameda County,1995,-22,1,-23,0
Albany,Alameda County,1996,-22,1,-24,1
Albany,Alameda County,1997,-25,-2,-23,0
Albany,Alameda County,1998,-18,5,-24,1
Albany,Alameda County,1999,-25,-1,-24,0
Albany,Alameda County,2000,48,39,8,1
Albany,Alameda County,2001,53,56,-5,2
Albany,Alameda County,2002,73,54,17,2
Albany,Alameda County,2003,63,52,9,2
Albany,Alameda County,2004,-129,70,-201,2
Albany,Alameda County,2005,61,57,2,2
Albany,Alameda County,2006,97,57,38,2
Albany,Alameda County,2007,-75,52,-129,2
Albany,Alameda County,2008,378,52,324,2
Albany,Alameda County,2009,52,54,-4,2
Albany,Alameda County,2010,-1163,-59,-1104,0
Albany,Alameda County,2011,5,1,4,0
Albany,Alameda County,2012,4,4,0,0
Albany,Alameda County,2013,1,1,0,0
Albany,Alameda County,2014,5,5,0,0
Albany,Alameda County,2015,5,5,0,0
Albany,Alameda County,2016,10,10,0,0
Albany,Alameda County,2017,188,12,176,0
Berkeley,Alameda County,1990,70,73,-6,3
Berkeley,Alameda County,1991,48,50,-7,5
Berkeley,Alameda County,1992,151,115,32,4
Berkeley,Alameda County,1993,106,120,-19,5
Berkeley,Alameda County,1994,79,111,-36,4
Berkeley,Alameda County,1995,104,117,-18,5
Berkeley,Alameda County,1996,83,122,-43,4
Berkeley,Alameda County,1997,72,122,-55,5
Berkeley,Alameda County,1998,281,121,156,4
Berkeley,Alameda County,1999,124,119,0,5
Berkeley,Alameda County,2000,125,114,-2,13
Berkeley,Alameda County,2001,185,123,46,16
Berkeley,Alameda County,2002,218,115,87,16
Berkeley,Alameda County,2003,229,116,97,16
Berkeley,Alameda County,2004,370,110,244,16
Berkeley,Alameda County,2005,413,109,289,15
Berkeley,Alameda County,2006,279,110,153,16
Berkeley,Alameda County,2007,367,112,239,16
Berkeley,Alameda County,2008,241,114,111,16
Berkeley,Alameda County,2009,142,113,13,16
Berkeley,Alameda County,2010,372,28,340,4
Berkeley,Alameda County,2011,-20,3,-23,0
Berkeley,Alameda County,2012,10,1,9,0
Berkeley,Alameda County,2013,85,8,77,0
Berkeley,Alameda County,2014,167,19,148,0
Berkeley,Alameda County,2015,144,4,140,0
Berkeley,Alameda County,2016,239,16,223,0
Berkeley,Alameda County,2017,534,43,491,0
Dublin,Alameda County,1990,112,58,54,0
Dublin,Alameda County,1991,470,50,421,-1
Dublin,Alameda County,1992,190,50,140,0
Dublin,Alameda County,1993,62,94,-32,0
Dublin,Alameda County,1994,33,45,-39,27
Dublin,Alameda County,1995,42,82,-40,0
Dublin,Alameda County,1996,76,117,-40,-1
Dublin,Alameda County,1997,235,266,-31,0
Dublin,Alameda County,1998,191,86,105,0
Dublin,Alameda County,1999,1234,374,861,-1
Dublin,Alameda County,2000,996,887,107,2
Dublin,Alameda County,2001,382,439,-60,3
